plotID,LineIndex,ActorID,ActorName,Express,Pos,State,Text
parent_D1_0,1,parent,父母,Normal,Right,Dialogue,【母】：汤好了，{主角}，端桌上去吧
parent_D1_0,2,parent,父母,Normal,Right,Dialogue,【父】主角？
parent_D1_0,3,parent,父母,Normal,Right,Dialogue,【母】还没饿？还是又在打游戏？
parent_D1_0,4,hero,主角,normal,Left,Dialogue,来啦——
parent_D1_0,5,parent,父母,Normal,Right,Dialogue,【母】真是，叫你也不答应，一会又要嫌我唠叨
parent_D1_0,6,parent,父母,Normal,Right,Dialogue,【父】还在玩那个黑漆漆的游戏吗？就是你老挨揍那个？
parent_D1_0,7,hero,主角,Normal,Left,Dialogue,也不算老挨揍啦，多玩一会就揍别人啦
parent_D1_0,8,hero,主角,Smile,Left,Dialogue,而且周末刚刚开始嘛，有的是时间
parent_D1_0,9,parent,父母,Normal,Right,Dialogue,【母】初三的孩子了，有时间要多复习，明白了没
parent_D1_0,10,parent,父母,Normal,Right,Dialogue,【父】你妈说的对，有时间多复习，初三的孩子了
parent_D1_0,11,hero,主角,Normal,Left,Dialogue,知道了知道了，初三——要多复习
parent_D1_0,12,parent,父母,Normal,Right,Dialogue,【父】别光嘴上说，要落实行动。比如从戒掉游戏开始
parent_D1_0,13,hero,主角,Normal,Left,Dialogue,游戏占不了多少时间啊，我也就周六回来玩玩而已
parent_D1_0,14,parent,父母,Normal,Right,Dialogue,【母】我上回怎么说的？你还记不记得？
parent_D1_0,15,hero,主角,Normal,Left,Dialogue,【主角】唉——知道，“时间每分每秒都很宝贵，花出去的时间是回不来的，要把时间花在有意义的地方”
parent_D1_0,16,parent,父母,Normal,Right,Dialogue,【母】一看你就没有深刻理解，这样真的让我和你爸有点担心啊
parent_D1_0,17,parent,父母,Normal,Right,Dialogue,【父】嗯，确实有点担心，毕竟你也是大孩子了
parent_D1_0,18,hero,主角,Angry,Left,Dialogue,.........
parent_D1_0,19,hero,主角,Angry,Left,Dialogue,..........
parent_D1_0,20,hero,主角,Normal,Left,Dialogue,.........
parent_D1_0,21,hero,主角,Smile,Left,Dialogue,知道了。知道你们很担心啦，但别那么担心嘛
parent_D1_0,22,parent,父母,Normal,Right,Dialogue,【母】.......我们不是要给你压力，只是想让你以后尽可能不要后悔
parent_D1_0,23,parent,父母,Sad,Left,Dialogue,【母】到我们这个岁数，或多或少都有太多遗憾的事情，我们只是希望你别犯我们的错误，也别犯自己的错误
parent_D1_0,24,parent,父母,Smile,Left,Dialogue,【母】(*噗嗤一笑* )我在说什么呢，什么叫也别犯你自己的错误
parent_D1_0,25,hero,主角,Smile,Left,Dialogue,"就是嘛,是有点奇怪"
parent_D1_0,26,,,Normal,None,Monologue,.........奇怪在哪呢？
